,siteID,siteuse,replsite,lon_WGS84,lat_WGS84,stratum,wgt,ip,caty,Join_Count,TARGET_FID,JOIN_FID,COMID,FDATE,Resolution,GNIS_ID,GNIS_NAME,LENGTHKM,REACHCODE,WBAREACOMI,FTYPE,FCODE,StreamLeve,StreamOrde,StreamCalc,FromNode,ToNode,Hydroseq,LevelPathI,Pathlength,TerminalPa,ArbolateSu,Divergence,StartFlag,TerminalFl,DnLevel,UpLevelPat,UpHydroseq,DnLevelPat,DnMinorHyd,DnDrainCou,DnHydroseq,FromMeas,ToMeas,RtnDiv,AreaSqKM,TotDASqKM,DivDASqKM,Tidal,TOTMA,HWNodeSqKM,MAXELEVRAW,MINELEVRAW,MAXELEVSMO,MINELEVSMO,SLOPE,ELEVFIXED,HWTYPE,SLOPELENKM,LakeFract,SurfArea,RAreaHLoad,FCODEDesc,ONOFFNET,PopupTitle,PopupSubti,Shape__Len,OBJECTID_1,PERMIT_BAS,SUM_SHAPE_,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,Shape__Are,Shape__L_1,Shape_Leng,geometry,fcode,stream_order,
21,Site-021,Base,None,-73.56866066,43.11525033,upper_hudson_river_basin,367065.0468,2.72E-06,4,1,3185,43,22288441,9/14/2009,Medium,1460572,Batten Kill,3.136,2.02E+12,22738843,Artifical Path,55800,2,4,4,200084000,200084000,200019000,200008000,296.693,200006000,461.185,0,0,0,2,200008000,200019000,200008000,0,1,200008000,7.66127,47.6264,0,7.6104,1143.86,1143.86,0,0.0609026,0,0,2471,3960,2501,0.00465242,0,NA,3.136,0,0,0,NA,1,Batten Kill,Artifical Path,0.03697634,3185,3-Nov,758616204.1,Battenkill,11,upper_hudson_river_basin,960080824.2,202856.5049,0.036976341,c(616448.640613574, 4774607.51461189),55800,4
22,Site-022,Base,None,-73.3265731,42.62443211,upper_hudson_river_basin,1065429.828,9.39E-07,1,1,3165,42,22290233,9/6/1999,Medium,970300,Little Hoosic River,3.027,2.02E+12,0,Stream/River,46006,3,1,1,200127000,200084000,200094000,200033000,350.715,200006000,3.027,0,1,0,3,0,0,200033000,0,1,200071000,0,100,0,5.7546,5.7546,5.7546,0,0.114918,1.9485,45712,34021,45712,34023,0.0406291,0,H,2.877,0,0,0,Perennial,1,Little Hoosic River,Perennial Stream/River,0.034846451,3165,2-Nov,1106600345,Hoosick,11,upper_hudson_river_basin,1624202744,282935.2378,0.03484645,c(637227.711917386, 4720467.27899758),46006,1
23,Site-023,Base,None,-74.03017047,43.7108377,upper_hudson_river_basin,1065429.828,9.39E-07,1,1,913,44,22305917,11/9/1999,Medium,962246,Raymond Brook,3.76,2.02E+12,0,Stream/River,46006,2,1,1,200128000,200086000,200093000,200059000,425.697,200006000,3.76,0,1,0,2,0,0,200059000,0,1,200071000,0.91083,100,0,7.0875,7.0875,7.0875,0,0.125457,0.8469,62620,30598,62620,30598,0.0887282,0,H,3.609,0,0,0,Perennial,1,Raymond Brook,Perennial Stream/River,0.040754039,913,4-Nov,7035993540,Headwaters,11,upper_hudson_river_basin,13434835002,851735.7113,0.040754039,c(578132.032856082, 4840214.00230485),46006,1
24,Site-024,Base,None,-73.79641491,43.97843949,upper_hudson_river_basin,1065429.828,9.39E-07,1,1,797,44,22304127,9/5/1999,Medium,958543,Niagara Brook,3.181,2.02E+12,0,Stream/River,46006,4,1,1,200086000,200086000,200046000,200046000,473.67,200006000,9.856,0,0,0,3,200046000,200052000,200030000,0,1,200033000,0,32.2351,0,3.5757,21.8925,21.8925,0,0.0957421,0,0,34278,47117,34278,0.0403615,0,NA,3.181,0,0,0,Perennial,1,Niagara Brook,Perennial Stream/River,0.030701515,797,4-Nov,7035993540,Headwaters,11,upper_hudson_river_basin,13434835002,851735.7113,0.030701516,c(596531.567117746, 4870182.25709441),46006,1
25,Site-025,Base,None,-73.35736607,43.13644052,upper_hudson_river_basin,367065.0468,2.72E-06,4,1,3194,43,22288297,10/13/1999,Medium,1460572,Batten Kill,6.647,2.02E+12,0,Stream/River,46006,2,4,4,200084000,200084000,200022000,200008000,322.657,200006000,258.641,0,0,0,2,200008000,200023000,200008000,0,1,200022000,0,100,0,11.7261,650.065,650.065,0,0.159948,0,0,12161,13425,12176,0.00187904,0,NA,6.647,0,0,0,Perennial,1,Batten Kill,Perennial Stream/River,0.069333066,3194,3-Nov,758616204.1,Battenkill,11,upper_hudson_river_basin,960080824.2,202856.5049,0.069333066,c(633592.97549376, 4777276.01903903),46006,4
26,Site-026,Base,None,-74.17287611,43.77290465,upper_hudson_river_basin,1065429.828,9.39E-07,1,1,1022,44,22306291,11/9/1999,Medium,NA,NA,2.704,2.02E+12,0,Stream/River,46006,5,1,1,200128000,200086000,200093000,200093000,472.039,200006000,2.704,0,1,0,4,0,0,200042000,0,1,200052000,0,100,0,3.942,3.942,3.942,0,0.140918,0.5166,54199,53308,54199,53352,0.00331766,0,H,2.553,0,0,0,Perennial,1,Stream/River,Perennial,0.030446365,1022,4-Nov,7035993540,Headwaters,11,upper_hudson_river_basin,13434835002,851735.7113,0.030446364,c(566566.439728894, 4846982.77117114),46006,1
27,Site-027,Base,None,-74.20168428,43.46219876,upper_hudson_river_basin,1065429.828,9.39E-07,1,1,2116,44,22295746,11/9/1999,Medium,954032,Jimmy Creek,7.957,2.02E+12,0,Stream/River,46006,4,1,1,200127000,200085000,200094000,200094000,448.116,200006000,7.957,0,1,0,3,0,0,200019000,0,1,200019000,0,100,0,14.4927,14.4927,14.4927,0,0.267123,1.5948,58190,34314,58190,34427,0.0304381,0,H,7.807,0,0,0,Perennial,1,Jimmy Creek,Perennial Stream/River,0.088609254,2116,4-Nov,7035993540,Headwaters,11,upper_hudson_river_basin,13434835002,851735.7113,0.088609258,c(564579.663821123, 4812452.75049914),46006,1
28,Site-028,Base,None,-73.99103097,43.34495276,upper_hudson_river_basin,1065429.828,9.39E-07,1,1,2825,44,22294700,10/13/1999,Medium,NA,NA,3.376,2.02E+12,0,Stream/River,46006,4,1,1,200085000,200085000,200071000,200052000,386.693,200006000,3.664,0,0,0,4,200052000,200094000,200052000,0,1,200059000,33.9597,94.7776,0,4.7043,6.4125,6.4125,0,0.134531,0,0,32186,39557,32186,0.0218335,0,NA,3.376,0,0,0,Perennial,1,Stream/River,Perennial,0.034601581,2825,4-Nov,7035993540,Headwaters,11,upper_hudson_river_basin,13434835002,851735.7113,0.034601581,c(581778.102219692, 4799616.63246308),46006,1
29,Site-029,Base,None,-73.93101175,43.06392062,upper_hudson_river_basin,384006.5105,2.60E-06,2,1,3248,41,22288091,10/13/1999,Medium,954412,Kayaderosseras Creek,2.813,2.02E+12,0,Stream/River,46006,2,2,2,200084000,200084000,200031000,200020000,345.658,200006000,72.411,0,0,0,2,200020000,200033000,200020000,0,1,200030000,0,100,0,1.9854,126.401,126.401,0,0.0756142,0,0,12547,15370,12700,0.00949164,0,NA,2.813,0,0,0,Perennial,1,Kayaderosseras Creek,Perennial Stream/River,0.030983181,3248,1-Nov,2179631613,Upper Hudson Main Stem,11,upper_hudson_river_basin,3652060554,518023.0448,0.030983181,c(587041.445556412, 4768467.57858117),46006,2
30,Site-030,Base,None,-74.40343819,43.74692171,upper_hudson_river_basin,1065429.828,9.39E-07,1,1,821,44,22306305,11/9/1999,Medium,966037,Sprague Brook,5.962,2.02E+12,0,Stream/River,46006,3,1,1,200128000,200086000,200093000,200093000,484.493,200006000,5.962,0,1,0,2,0,0,200015000,0,1,200021000,0,100,0,9.0135,9.0135,9.0135,0,0.208063,0.9864,79496,54470,79496,54470,0.0430592,0,H,5.812,0,0,0,Perennial,1,Sprague Brook,Perennial Stream/River,0.059445119,821,4-Nov,7035993540,Headwaters,11,upper_hudson_river_basin,13434835002,851735.7113,0.05944512,c(548031.686506888, 4843937.52585059),46006,1
31,Site-031,Base,None,-74.26039726,44.76788209,st_lawrence_river_basin,708618.6947,1.41E-06,2,1,47105,30,15450260,1/8/2009,Medium,971505,Winslow Brook,3.33,4.15031E+12,0,Stream/River,46006,5,2,2,90046900,90046900,90051100,90051100,44.322,90008500,10.499,0,0,0,4,90051100,90063200,90008500,0,1,90014200,0,100,0,2.1951,12.809,12.809,0,0.111374,0,0,28060,40723,28060,0.038027,1,NA,3.33,0,0,0,Perennial,1,Winslow Brook,Perennial Stream/River,0.037079105,47105,2-Sep,5129164298,St. Regis-Salmon-Chateaugay Rivers,9,st_lawrence_river_basin,8624155860,601642.6878,0.037079106,c(558526.903226229, 4957431.60011982),46006,2
32,Site-032,Base,None,-74.91022877,44.85454995,st_lawrence_river_basin,708618.6947,1.41E-06,2,1,44204,31,15464509,10/11/1999,Medium,976839,Plum Brook,12.683,4.15031E+12,0,Stream/River,46006,6,2,2,90047900,90047900,90028400,90023200,32.049,90004100,55.236,0,0,0,6,90023200,90030200,90023200,0,1,90026800,0,100,0,18.7803,75.399,75.399,0,0.448767,0,0,6471,9497,6676,0.00222423,0,NA,12.683,0,0,0,Perennial,1,Plum Brook,Perennial Stream/River,0.135877993,44204,3-Sep,3259938947,Raquette River,9,st_lawrence_river_basin,6364462968,980918.6571,0.135877987,c(507093.22405532, 4966796.86968108),46006,2
33,Site-033,Base,None,-75.39163964,44.27361501,st_lawrence_river_basin,708618.6947,1.41E-06,2,1,42236,33,15491502,11/9/1999,Medium,NA,NA,3.008,4.1503E+12,0,Stream/River,46006,7,2,2,90050400,90050300,90043700,90038800,200.913,90004100,9.587,0,0,0,7,90038800,90050600,90038800,0,1,90038800,0,100,0,3.4461,12.304,12.304,0,0.123156,0,0,17604,19806,17619,0.00727061,0,NA,3.008,0,0,0,Perennial,1,Stream/River,Perennial,0.030967898,42236,5-Sep,2717692357,Oswegatchie River,9,st_lawrence_river_basin,5302792798,834400.2976,0.030967898,c(468745.29269751, 4902337.9578837),46006,2
34,Site-034,Base,None,-75.44135735,44.36690915,st_lawrence_river_basin,708618.6947,1.41E-06,2,1,41524,33,15491160,1/15/2009,Medium,977269,White Creek,1.85,4.1503E+12,0,Stream/River,46006,7,2,2,90050200,90050200,90043700,90038800,145.365,90004100,13.025,0,0,0,7,90038800,90050700,90038800,0,1,90038800,0,100,0,1.7397,11.512,11.512,0,0.0784603,0,0,11602,12789,11617,0.00633513,0,NA,1.85,0,0,0,Perennial,1,White Creek,Perennial Stream/River,0.019853588,41524,5-Sep,2717692357,Oswegatchie River,9,st_lawrence_river_basin,5302792798,834400.2976,0.019853588,c(464833.351803214, 4912720.65823244),46006,2
35,Site-035,Base,None,-74.2389461,44.84012582,st_lawrence_river_basin,2118474.639,4.72E-07,1,1,47221,30,15450224,10/11/1999,Medium,NA,NA,4.894,4.15031E+12,0,Stream/River,46003,5,1,1,90094800,90046700,90086400,90086400,35.777,90008500,4.894,0,1,0,4,0,0,90008500,0,1,90012500,0,100,0,3.0555,3.055,3.055,0,0.21404,0.0567,35586,21543,35586,21543,0.0292319,1,H,4.804,0,0,0,Intermittent,1,Stream/River,Intermittent,0.058201421,47221,2-Sep,5129164298,St. Regis-Salmon-Chateaugay Rivers,9,st_lawrence_river_basin,8624155860,601642.6878,0.058201421,c(560149.275529657, 4965472.3473557),46003,1
36,Site-036,Base,None,-74.51442191,44.58801902,st_lawrence_river_basin,2118474.639,4.72E-07,1,1,45863,30,15456668,10/11/1999,Medium,976351,Goose Pond Brook,2.108,4.15031E+12,0,Stream/River,46003,5,1,1,90095200,90047500,90086000,90032500,92.735,90005900,2.108,0,1,0,5,0,0,90032500,0,1,90063000,47.8408,100,0,1.3743,1.374,1.374,0,0.106401,0.1269,48098,43616,48098,43616,0.0222211,0,H,2.017,0,0,0,Intermittent,1,Goose Pond Brook,Intermittent Stream/River,0.02160545,45863,2-Sep,5129164298,St. Regis-Salmon-Chateaugay Rivers,9,st_lawrence_river_basin,8624155860,601642.6878,0.021605451,c(538544.250593313, 4937300.85314882),46003,1
